Program Kodu,Kurum Adı,Ünvanı,Kadro Detayları,İl,Kontenjan,Boş Kontenjan,Min Puan,Max Puan
301017500,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Ordu,1,,93.201,93.201
301018046,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Sinop,1,,93.174,93.174
301020566,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Mühendis,4611Aşağıdaki lisans programlarından birinden mezun olmak.3160 - Elektrik Mühendisliği3162 - Elektrik ve Elektronik Mühendisliği / Elektrik-Elektronik Mühendisliği7247Tehlikeli Ve Çok Tehlikeli İşlerde Çalışmasına Engel Bir Durumu Bulunmamak7257Seyahate ve Arazide Çalışmaya Elverişli olmak.,Konya,1,,93.163,93.163
301017955,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Malatya,1,,93.152,93.152
301019789,Türkiye Elektrik Dağıtım A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7257Seyahate ve Arazide Çalışmaya Elverişli olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Diyarbakır,1,,93.139,93.139
301015645,Afet ve Acil Durum Yönetimi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Adana,1,,93.133,93.133
301017332,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Çanakkale,1,,93.129,93.129
301016037,Bolu İl Özel İdaresi ,Mimar,4747Aşağıdaki lisans programlarından birinden mezun olmak.3263 - Mimarlık7257Seyahate ve Arazide Çalışmaya Elverişli olmak.,Bolu,1,,93.118,93.118
301017472,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Mardin,1,,93.097,93.097
301017927,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Kastamonu,1,,93.089,93.089
301021112,Ulaştırma ve Altyapı Bakanlığı ,Mühendis,4669Aşağıdaki lisans programlarından birinden mezun olmak.3221 - İnşaat Mühendisliği,Bursa,1,,93.029,93.029
